0,1
1,1681
2,1343161
3,679237161
4,244211985942
5,66484712945526
6,14252829664510326
7,2470469819902740500
8,3527777806074911e5
9,4207636095252005e7
10,4235016326024637e9
11,3625066733132368e11
12,26542701473317647e12
13,16695504493583306e14
14,904869055338822e17
15,4233874350469941e18
16,1711865637312596e20
17,5981418129520577e21
18,18046302976312575e22
19,46934315995186006e23
20,1049503831518672e26
21,2010537285700944e27
22,3284225405764854e28
23,4547123871998892e29
24,5295718587245305e30
25,5138446728667694e31
26,4103555066288929e32
27,26550559262079283e32
28,13631663681700185e33
29,5398872701526417e34
30,1584735315180948e35
31,3249946991502137e35
32,4256713720292673e35
33,31050605167972467e34
34,10286473906378884e34
35,11478123842144635e33
36,2739611805635481e32
37,6672515469853543e29
38,4685136072532674e25
39,9446255505693176e18
40,3904442991190444e7
41,1
